block_id,temp_mean,temp_max,temp_area_weighted_mean,execution_cycles
0,348.16,348.17,348.16,100.0
22,348.16,348.16,348.16,1602.0
23,348.16,348.16,348.16,720001.0
24,348.16,348.18,348.16,11088010000.0
25,348.16,348.18,348.16,1440002.0
26,348.16,348.17,348.16,1602.0
27,348.16,348.19,348.16,0.0
1,348.17,348.18,348.17,17.0
2,350.35,350.73,350.37,5.0
3,350.37,350.74,350.39,68.0
28,348.17,348.19,348.17,1602.0
4,350.38,350.75,350.4,34.0
29,348.18,348.21,348.18,6240005.0
5,350.4,350.76,350.42,800.9999
8,350.4,350.75,350.42,24.0
30,348.2,348.25,348.2,9936008000.0
6,350.41,350.77,350.43,14071970.0
9,,,0.0,1651.5
10,,,0.0,19773960.0
11,,,0.0,2202.0
12,,,0.0,30.0
13,,,0.0,901.0001
32,348.21,348.26,348.21,1602.0
31,348.21,348.26,348.21,1920002.0
7,350.42,350.77,350.44,1602.0
15,350.42,350.77,350.44,1802.0
14,,,0.0,18079920.0
16,,,0.0,24.0
17,,,0.0,800.9999
18,,,0.0,15833360.0
19,,,0.0,1602.0
20,,,0.0,6.0
21,,,0.0,15.0
