block_id,temp_max_etc,temp_max_baseline,temp_diff
0,77.0,77.0,0.0
3,77.0,77.0,0.0
2,77.0,77.0,0.0
1,77.0,77.0,0.0
4,77.0,77.0,0.0
5,77.0,77.0,0.0
8,77.0,77.0,0.0
6,77.0,77.0,0.0
16,77.0,77.0,0.0
17,77.0,77.0,0.0
18,77.0,77.0,0.0
19,77.0,77.0,0.0
20,77.0,77.0,0.0
21,77.0,77.0,0.0
22,77.0,77.0,0.0
10,78.40000000000003,78.40000000000003,0.0
15,77.0,77.0,0.0
9,78.40000000000003,78.40000000000003,0.0
14,77.0,77.0,0.0
13,77.0,77.0,0.0
11,77.0,77.0,0.0
12,77.0,77.0,0.0
7,56.39000000000004,56.43000000000001,-0.03999999999996362
