block_id,temp_mean,temp_max,temp_area_weighted_mean,cycle_count,execution_time,dvs_calling_count,voltage,frequency
27,350.15,350.15,350.15,71,2.3666666666666667e-08,1,0.7,3.0
5,350.15,350.15,350.15,12,4e-09,1,0.7,3.0
19,350.15,350.15,350.15,53,1.7666666666666666e-08,1,0.7,3.0
26,350.15,350.15,350.15,21,7e-09,1,0.7,3.0
4,350.15,350.15,350.15,5,1.6666666666666667e-09,1,0.7,3.0
18,350.15,350.15,350.15,40020,1.334e-05,1000,0.7,3.0
25,334.39,334.43,334.39,29175362381,9.725120793666667,1000,0.7,3.0
0,350.15,350.15,350.15,63,2.1e-08,1,0.7,3.0
3,350.15,350.15,350.15,51,1.7e-08,1,0.7,3.0
17,350.15,350.15,350.15,19,6.333333333333333e-09,1,0.7,3.0
24,334.39,334.43,334.39,1,3.333333333333333e-10,1,0.85,3.0
2,350.15,350.15,350.15,1136,3.7866666666666667e-07,32,0.7,3.0
16,351.86,352.36,351.89,17476742,0.005825580666666667,1000,0.7,3.0
23,338.82,341.18,338.74,21362047,0.007120682333333334,1000,0.85,3.0
1,350.15,350.15,350.15,46,1.5333333333333335e-08,1,0.7,3.0
15,351.86,352.36,351.89,13,4.333333333333333e-09,1,0.65,3.0
22,338.82,341.18,338.74,1,3.333333333333333e-10,1,0.85,3.0
14,330.02,330.08,330.03,59569055415,19.856351805,1000,0.65,3.0
10,350.15,350.15,350.15,5,1.6666666666666667e-09,1,0.7,3.0
21,342.02,343.72,341.99,21382250,0.0071274166666666664,1000,0.85,3.0
13,330.02,330.08,330.03,1,3.333333333333333e-10,1,0.85,3.0
9,350.15,350.15,350.15,20,6.666666666666667e-09,1,0.7,3.0
20,342.02,343.72,341.99,30,1e-08,1,0.85,3.0
12,332.86,335.85,332.74,7916943,0.002638981,1000,0.85,3.0
8,350.15,350.15,350.15,2,6.666666666666666e-10,1,0.7,3.0
11,332.86,335.85,332.74,38,1.2666666666666666e-08,1,0.85,3.0
6,350.15,350.15,350.15,21,7e-09,1,0.7,3.0
7,350.15,350.15,350.15,13,4.333333333333333e-09,1,0.7,3.0
