block_id,temp_mean,temp_max,temp_area_weighted_mean,cycle_count,execution_time,dvs_calling_count,voltage,frequency
0,350.15,350.15,350.15,201,6.7e-08,1,0.65,3.0
35,350.15,350.15,350.15,6,2e-09,1,0.65,3.0
36,350.15,350.15,350.15,6,2e-09,1,0.65,3.0
37,350.15,350.15,350.15,7,2.333333333333333e-09,1,0.65,3.0
38,350.15,350.15,350.15,7,2.333333333333333e-09,1,0.65,3.0
39,350.15,350.15,350.15,17,5.666666666666667e-09,1,0.65,3.0
40,350.15,350.15,350.15,1,3.333333333333333e-10,1,0.65,3.0
1,350.15,350.15,350.15,17,5.666666666666667e-09,1,0.65,3.0
41,350.15,350.15,350.15,5,1.6666666666666667e-09,1,0.65,3.0
4,350.15,350.15,350.15,104,3.4666666666666666e-08,1,0.65,3.0
9,350.15,350.15,350.15,87,2.9e-08,1,0.65,3.0
2,350.15,350.15,350.15,5,1.6666666666666667e-09,1,0.65,3.0
42,350.15,350.15,350.15,20,6.666666666666667e-09,1,0.65,3.0
5,350.15,350.16,350.15,107054,3.568466666666667e-05,1000,0.65,3.0
6,351.4,352.15,351.42,78960500,0.026320166666666665,999500,0.65,3.0
7,351.4,352.15,351.42,3002,9.683870967741935e-07,1000,0.65,3.1
10,350.15,350.15,350.15,2001,6.67e-07,1000,0.65,3.0
11,,,0.0,0,0.0,8,0.65,3.0
12,,,0.0,766,1.868292682926829e-07,8,0.9,4.1000000000000005
13,350.15,350.15,350.15,13898,4.632666666666666e-06,993,0.65,3.0
14,351.89,352.58,351.93,36160500,0.0120535,495349,0.65,3.0
15,,,0.0,4002,9.760975609756097e-07,1000,0.9,4.1000000000000005
3,350.15,350.15,350.15,108,3.6e-08,1,0.65,3.0
30,350.15,350.15,350.15,51,1.7e-08,1,0.65,3.0
43,350.15,350.15,350.15,2,6.666666666666666e-10,1,0.65,3.0
8,351.4,352.15,351.42,24,7.741935483870967e-09,1,0.65,3.1
16,,,0.0,0,0.0,1,0.9,4.1000000000000005
32,350.15,350.15,350.15,176,5.866666666666667e-08,16,0.65,3.0
33,350.15,350.15,350.15,672,2.24e-07,32,0.65,3.0
31,350.15,350.15,350.15,288,9.6e-08,32,0.65,3.0
45,350.15,350.15,350.15,21,7e-09,1,0.65,3.0
44,350.15,350.15,350.15,13,4.333333333333333e-09,1,0.65,3.0
17,,,0.0,6003,1.4641463414634144e-06,1000,0.9,4.1000000000000005
18,,,0.0,55972000,0.013651707317073169,999500,0.9,4.1000000000000005
19,,,0.0,4002,9.760975609756097e-07,1000,0.9,4.1000000000000005
34,350.15,350.15,350.15,46,1.5333333333333335e-08,1,0.65,3.0
20,,,0.0,8,1.9512195121951218e-09,1,0.9,4.1000000000000005
23,,,0.0,0,0.0,1,0.9,4.1000000000000005
21,,,0.0,0,0.0,1,0.9,4.1000000000000005
24,,,0.0,19,4.634146341463414e-09,1,0.9,4.1000000000000005
22,,,0.0,8434,2.057073170731707e-06,124,0.9,4.1000000000000005
25,,,0.0,0,0.0,1,0.9,4.1000000000000005
26,,,0.0,6003,1.4641463414634144e-06,1000,0.9,4.1000000000000005
27,,,0.0,54972500,0.013407926829268292,999500,0.9,4.1000000000000005
28,,,0.0,4002,9.760975609756097e-07,1000,0.9,4.1000000000000005
29,,,0.0,30,7.317073170731707e-09,1,0.9,4.1000000000000005
