block_id,temp_mean,temp_max,temp_area_weighted_mean,cycle_count,execution_time,dvs_calling_count,voltage,frequency
22,350.15,350.15,350.15,6,2e-09,1,0.7,3.0
16,351.84,352.33,351.87,13,4.333333333333333e-09,1,0.7,3.0
21,350.15,350.15,350.15,6,2e-09,1,0.7,3.0
15,351.84,352.33,351.87,21,7e-09,1,0.65,3.0
20,350.15,350.15,350.15,61,2.0333333333333333e-08,1,0.7,3.0
5,351.84,352.33,351.87,12,4e-09,1,0.65,3.0
14,351.84,352.33,351.87,15529383,0.005176461,700,0.65,3.0
19,350.15,350.15,350.15,5,1.6666666666666667e-09,1,0.7,3.0
4,351.84,352.33,351.87,5,1.6666666666666667e-09,1,0.65,3.0
13,353.03,353.73,353.08,13,4.333333333333333e-09,1,0.65,3.0
17,350.15,350.15,350.15,2,6.666666666666666e-10,1,0.7,3.0
18,350.15,350.15,350.15,20,6.666666666666667e-09,1,0.7,3.0
0,351.84,352.33,351.87,51,1.7e-08,1,0.65,3.0
3,351.84,352.33,351.87,60,2e-08,1,0.65,3.0
12,353.03,353.73,353.08,0,0.0,1,0.65,3.0
2,351.84,352.33,351.88,65761,2.1920333333333334e-05,497,0.65,3.0
11,354.56,355.77,354.61,9028520,0.0030095066666666666,601,0.65,3.0
1,351.84,352.33,351.88,58,1.9333333333333334e-08,1,0.65,3.0
10,354.56,355.77,354.61,7,2.333333333333333e-09,1,0.65,3.0
9,355.34,357.1,355.38,7046499,0.002348833,700,0.65,3.0
8,355.34,357.1,355.38,9,3e-09,1,0.65,3.0
7,341.37,341.42,341.37,11361725025,3.787241675,601,0.65,3.0
6,341.37,341.42,341.37,6,2e-09,1,0.85,3.0
