block_id,temp_mean,temp_max,temp_area_weighted_mean,cycle_count,execution_time,dvs_calling_count,voltage,frequency
0,350.15,350.15,350.15,63,2.1e-08,1,0.65,3.0
1,350.15,350.15,350.15,46,1.5333333333333335e-08,1,0.65,3.0
4,350.15,350.15,350.15,5,1.6666666666666667e-09,1,0.65,3.0
2,350.15,350.15,350.15,1136,3.7866666666666667e-07,32,0.65,3.0
5,350.15,350.15,350.15,12,4e-09,1,0.65,3.0
3,350.15,350.15,350.15,51,1.7e-08,1,0.65,3.0
6,350.15,350.15,350.15,21,7e-09,1,0.65,3.0
16,350.19,350.23,350.19,17476742,0.005825580666666667,1000,0.65,3.0
15,350.19,350.23,350.19,13,4.333333333333333e-09,1,0.65,3.0
14,330.04,330.13,330.04,59569055415,19.856351805,1000,0.65,3.0
10,350.19,350.23,350.19,5,1.6666666666666667e-09,1,0.65,3.0
13,330.04,330.13,330.04,1,2.7777777777777777e-10,1,0.8,3.6
9,350.19,350.23,350.19,20,6.666666666666667e-09,1,0.65,3.0
12,332.87,335.85,332.75,7916943,0.0021991508333333333,1000,0.8,3.6
8,350.19,350.23,350.19,2,6.666666666666666e-10,1,0.65,3.0
11,332.87,335.85,332.75,38,1.0555555555555555e-08,1,0.8,3.6
7,350.19,350.23,350.19,13,4.333333333333333e-09,1,0.65,3.0
17,350.15,350.15,350.15,19,6.333333333333333e-09,1,0.65,3.0
19,350.15,350.15,350.15,53,1.7666666666666666e-08,1,0.65,3.0
25,334.9,334.95,334.91,29175362381,9.725120793666667,1000,0.65,3.0
18,350.15,350.15,350.15,40020,1.334e-05,1000,0.65,3.0
24,334.9,334.95,334.91,1,2.7777777777777777e-10,1,0.8,3.6
23,339.24,341.49,339.16,21362047,0.005933901944444445,1000,0.8,3.6
22,339.24,341.49,339.16,1,2.7027027027027025e-10,1,0.8,3.7
21,342.39,343.98,342.36,21382250,0.005778986486486486,1000,0.8,3.7
20,342.39,343.98,342.36,30,8.108108108108107e-09,1,0.8,3.7
26,350.15,350.15,350.15,21,7e-09,1,0.65,3.0
32,350.15,350.15,350.15,17,5.666666666666667e-09,1,0.65,3.0
27,350.15,350.15,350.15,71,2.3666666666666667e-08,1,0.65,3.0
28,350.15,350.15,350.15,6,2e-09,1,0.65,3.0
29,350.15,350.15,350.15,6,2e-09,1,0.65,3.0
30,350.15,350.15,350.15,7,2.333333333333333e-09,1,0.65,3.0
31,350.15,350.15,350.15,7,2.333333333333333e-09,1,0.65,3.0
33,350.15,350.15,350.15,1,3.333333333333333e-10,1,0.65,3.0
