block_id,temp_max_etc,temp_max_baseline,temp_diff
0,77.0,77.0,0.0
3,77.0,77.0,0.0
2,77.0,77.0,0.0
1,77.0,77.0,0.0
4,77.0,77.0,0.0
5,77.0,77.0,0.0
8,77.0,77.0,0.0
6,77.0,77.0,0.0
11,77.11000000000001,77.17000000000002,-0.060000000000002274
10,77.11000000000001,77.17000000000002,-0.060000000000002274
9,78.30000000000001,78.38,-0.07999999999998408
7,67.92000000000002,67.98000000000002,-0.060000000000002274
26,77.0,77.0,0.0
12,,,
14,77.05000000000001,77.08000000000004,-0.03000000000002956
18,77.0,77.0,0.0
13,77.05000000000001,77.08000000000004,-0.03000000000002956
17,77.0,77.0,0.0
15,77.0,77.0,0.0
16,77.0,77.0,0.0
19,77.0,77.0,0.0
20,77.0,77.0,0.0
21,77.0,77.0,0.0
22,77.0,77.0,0.0
23,77.0,77.0,0.0
24,77.0,77.0,0.0
25,77.0,77.0,0.0
